Model:    gemma3:4b
  [76/1500] B16 → 7  EV=6.08
  [77/1500] B17 → 2  EV=2.16
  [78/1500] B18 → 7  EV=7.00
  [79/1500] B19 → 7  EV=6.97
  [80/1500] B20 → 7  EV=6.60
  [81/1500] B21 → 7  EV=7.00
  [82/1500] B22 → 7  EV=7.00
  [83/1500] B23 → 7  EV=7.00
  [84/1500] B24 → 7  EV=5.51
  [85/1500] B25 → 7  EV=6.88
  [86/1500] B26 → 7  EV=6.08
  [87/1500] B27 → 2  EV=2.08
  [88/1500] B28 → 7  EV=5.13
  [89/1500] B29 → 7  EV=7.00
  [90/1500] B30 → 7  EV=7.00
  [91/1500] B01 → 3  EV=3.73
  [92/1500] B02 → 3  EV=3.01
  [93/1500] B03 → 3  EV=3.00
  [94/1500] B04 → 3  EV=3.05
  [95/1500] B05 → 3  EV=3.00
  [96/1500] B06 → 3  EV=3.00
  [97/1500] B07 → 3  EV=3.00
  [98/1500] B08 → 3  EV=3.01
  [99/1500] B09 → 3  EV=3.00
  [100/1500] B10 → 3  EV=3.27

  Checkpoint: 100/1500 (0.8 prompts/sec)

  [101/1500] B11 → 3  EV=3.00
  [102/1500] B12 → 3  EV=3.68
  [103/1500] B13 → 3  EV=3.01
  [104/1500] B14 → 3  EV=3.00
  [105/1500] B15 → 3  EV=3.00
  [106/1500] B16 → 1  EV=1.80
  [107/1500] B17 → 3  EV=3.00
  [108/1500] B18 → 3  EV=3.00
  [109/1500] B19 → 3  EV=3.09
  [110/1500] B20 → 3  EV=3.00
  [111/1500] B21 → 6  EV=5.92
  [112/1500] B22 → 3  EV=3.01
  [113/1500] B23 → 3  EV=3.06
  [114/1500] B24 → 3  EV=3.00
  [115/1500] B25 → 3  EV=3.00
  [116/1500] B26 → 3  EV=3.00
  [117/1500] B27 → 3  EV=3.00
  [118/1500] B28 → 3  EV=3.00
  [119/1500] B29 → 3  EV=3.01
  [120/1500] B30 → 3  EV=3.95
  [121/1500] B01 → 7  EV=7.00
  [122/1500] B02 → 7  EV=7.00
  [123/1500] B03 → 7  EV=6.99
  [124/1500] B04 → 7  EV=6.95
  [125/1500] B05 → 7  EV=7.00
  [126/1500] B06 → 7  EV=7.00
  [127/1500] B07 → 7  EV=6.99
  [128/1500] B08 → 7  EV=7.00
  [129/1500] B09 → 7  EV=6.98
  [130/1500] B10 → 7  EV=6.99
  [131/1500] B11 → 7  EV=6.81
  [132/1500] B12 → 7  EV=7.00
  [133/1500] B13 → 7  EV=6.99
  [134/1500] B14 → 7  EV=7.00
  [135/1500] B15 → 7  EV=6.18
  [136/1500] B16 → 7  EV=6.18
  [137/1500] B17 → 7  EV=6.35
  [138/1500] B18 → 7  EV=7.00
  [139/1500] B19 → 7  EV=6.97
  [140/1500] B20 → 7  EV=6.55
  [141/1500] B21 → 7  EV=7.00
  [142/1500] B22 → 7  EV=7.00
  [143/1500] B23 → 7  EV=7.00
  [144/1500] B24 → 7  EV=7.00
  [145/1500] B25 → 7  EV=6.99
  [146/1500] B26 → 7  EV=7.00
  [147/1500] B27 → 3  EV=4.24
  [148/1500] B28 → 7  EV=5.06
  [149/1500] B29 → 7  EV=7.00
  [150/1500] B30 → 7  EV=7.00
  [151/1500] B01 → 3  EV=3.02
  [152/1500] B02 → 3  EV=3.02
  [153/1500] B03 → 3  EV=3.16
  [154/1500] B04 → 4  EV=3.83
  [155/1500] B05 → 3  EV=3.20
  [156/1500] B06 → 3  EV=3.00
  [157/1500] B07 → 3  EV=3.40
  [158/1500] B08 → 4  EV=3.94
  [159/1500] B09 → 3  EV=3.02
  [160/1500] B10 → 4  EV=3.94
  [161/1500] B11 → 3  EV=3.00
  [162/1500] B12 → 4  EV=4.00
  [163/1500] B13 → 4  EV=3.94
  [164/1500] B14 → 4  EV=3.99
  [165/1500] B15 → 3  EV=3.00
  [166/1500] B16 → 3  EV=3.00
  [167/1500] B17 → 3  EV=3.00
  [168/1500] B18 → 3  EV=3.01
  [169/1500] B19 → 4  EV=3.82
  [170/1500] B20 → 3  EV=3.00
  [171/1500] B21 → 3  EV=3.03
  [172/1500] B22 → 4  EV=3.75
  [173/1500] B23 → 3  EV=3.00
  [174/1500] B24 → 3  EV=3.00
  [175/1500] B25 → 3  EV=3.00
  [176/1500] B26 → 3  EV=3.01
  [177/1500] B27 → 3  EV=3.00
  [178/1500] B28 → 3  EV=3.00
  [179/1500] B29 → 3  EV=3.06
  [180/1500] B30 → 4  EV=3.92
  [181/1500] B01 → 1  EV=1.15
  [182/1500] B02 → 1  EV=2.69
  [183/1500] B03 → 7  EV=6.99
  [184/1500] B04 → 1  EV=1.04
  [185/1500] B05 → 7  EV=6.47
  [186/1500] B06 → 1  EV=2.18
  [187/1500] B07 → 7  EV=6.05
  [188/1500] B08 → 1  EV=1.06
  [189/1500] B09 → 1  EV=1.03
  [190/1500] B10 → 7  EV=6.98
  [191/1500] B11 → 1  EV=1.91
  [192/1500] B12 → 7  EV=6.78
  [193/1500] B13 → 7  EV=6.97
  [194/1500] B14 → 7  EV=6.97
  [195/1500] B15 → 1  EV=1.07
  [196/1500] B16 → 1  EV=1.01
  [197/1500] B17 → 1  EV=1.05
  [198/1500] B18 → 7  EV=7.00
  [199/1500] B19 → 7  EV=6.70
  [200/1500] B20 → 1  EV=1.00

  Checkpoint: 200/1500 (0.8 prompts/sec)

  [201/1500] B21 → 7  EV=6.99
  [202/1500] B22 → 1  EV=1.13
  [203/1500] B23 → 7  EV=7.00
  [204/1500] B24 → 1  EV=1.02
  [205/1500] B25 → 1  EV=2.79
  [206/1500] B26 → 1  EV=1.03
  [207/1500] B27 → 1  EV=1.00
  [208/1500] B28 → 1  EV=2.77
  [209/1500] B29 → 7  EV=6.93
  [210/1500] B30 → 7  EV=6.56
  [211/1500] B01 → 3  EV=2.75
  [212/1500] B02 → 3  EV=2.76
  [213/1500] B03 → 1  EV=1.04
  [214/1500] B04 → 1  EV=1.04
  [215/1500] B05 → 3  EV=2.52
  [216/1500] B06 → 1  EV=1.67
  [217/1500] B07 → 3  EV=2.93
  [218/1500] B08 → 1  EV=1.01
  [219/1500] B09 → 3  EV=2.77
  [220/1500] B10 → 3  EV=3.05
  [221/1500] B11 → 3  EV=3.15
  [222/1500] B12 → 3  EV=2.91
  [223/1500] B13 → 3  EV=2.95
  [224/1500] B14 → 1  EV=1.16
  [225/1500] B15 → 1  EV=1.44
  [226/1500] B16 → 1  EV=1.05
  [227/1500] B17 → 3  EV=2.32
  [228/1500] B18 → 1  EV=1.53
  [229/1500] B19 → 3  EV=2.22
  [230/1500] B20 → 1  EV=1.70
  [231/1500] B21 → 3  EV=2.86
  [232/1500] B22 → 1  EV=1.07
  [233/1500] B23 → 1  EV=1.00
  [234/1500] B24 → 1  EV=1.69
  [235/1500] B25 → 1  EV=1.01
  [236/1500] B26 → 1  EV=3.12
  [237/1500] B27 → 1  EV=1.02
  [238/1500] B28 → 3  EV=2.64
  [239/1500] B29 → 3  EV=2.46
  [240/1500] B30 → 6  EV=4.83
  [241/1500] B01 → 3  EV=2.99
  [242/1500] B02 → 3  EV=4.09
  [243/1500] B03 → 3  EV=3.13
  [244/1500] B04 → 3  EV=2.98
  [245/1500] B05 → 7  EV=5.19
  [246/1500] B06 → 3  EV=2.73
  [247/1500] B07 → 3  EV=3.15
  [248/1500] B08 → 3  EV=2.89
  [249/1500] B09 → 3  EV=2.98
  [250/1500] B10 → 7  EV=6.83
  [251/1500] B11 → 1  EV=1.20
  [252/1500] B12 → 3  EV=4.94
  [253/1500] B13 → 7  EV=6.19
  [254/1500] B14 → 7  EV=6.98
  [255/1500] B15 → 3  EV=2.37
  [256/1500] B16 → 1  EV=1.53
  [257/1500] B17 → 2  EV=2.13
  [258/1500] B18 → 3  EV=3.35
  [259/1500] B19 → 7  EV=5.58
  [260/1500] B20 → 1  EV=1.00
  [261/1500] B21 → 7  EV=6.99
  [262/1500] B22 → 7  EV=6.31
  [263/1500] B23 → 7  EV=4.78
  [264/1500] B24 → 2  EV=2.47
  [265/1500] B25 → 3  EV=3.60
  [266/1500] B26 → 7  EV=6.97
  [267/1500] B27 → 2  EV=1.98
  [268/1500] B28 → 1  EV=1.03
  [269/1500] B29 → 7  EV=6.98
  [270/1500] B30 → 7  EV=6.99
  [271/1500] B01 → 3  EV=3.00
  [272/1500] B02 → 3  EV=3.00
  [273/1500] B03 → 7  EV=5.73
  [274/1500] B04 → 3  EV=3.06
  [275/1500] B05 → 7  EV=7.00
  [276/1500] B06 → 7  EV=7.00
  [277/1500] B07 → 3  EV=3.37
  [278/1500] B08 → 7  EV=6.40
  [279/1500] B09 → 2  EV=3.44
  [280/1500] B10 → 7  EV=5.73
  [281/1500] B11 → 3  EV=2.94
  [282/1500] B12 → 3  EV=3.84
  [283/1500] B13 → 7  EV=6.96
  [284/1500] B14 → 7  EV=7.00
  [285/1500] B15 → 7  EV=4.36
  [286/1500] B16 → 1  EV=1.18
  [287/1500] B17 → 2  EV=2.15
  [288/1500] B18 → 7  EV=6.94
  [289/1500] B19 → 3  EV=3.79
  [290/1500] B20 → 2  EV=2.62
  [291/1500] B21 → 7  EV=6.99
  [292/1500] B22 → 7  EV=7.00
  [293/1500] B23 → 7  EV=7.00
  [294/1500] B24 → 1  EV=1.01
  [295/1500] B25 → 1  EV=1.04
  [296/1500] B26 → 3  EV=3.40
  [297/1500] B27 → 1  EV=1.00
  [298/1500] B28 → 1  EV=1.57
  [299/1500] B29 → 7  EV=7.00
  [300/1500] B30 → 7  EV=7.00

  Checkpoint: 300/1500 (0.8 prompts/sec)

  [301/1500] B01 → 3  EV=3.05
  [302/1500] B02 → 3  EV=2.99
  [303/1500] B03 → 7  EV=6.99
  [304/1500] B04 → 3  EV=2.70
  [305/1500] B05 → 7  EV=4.41
  [306/1500] B06 → 1  EV=1.68
  [307/1500] B07 → 2  EV=3.21
  [308/1500] B08 → 2  EV=2.24
  [309/1500] B09 → 2  EV=2.09
  [310/1500] B10 → 7  EV=4.84
  [311/1500] B11 → 1  EV=1.01
  [312/1500] B12 → 3  EV=3.02
  [313/1500] B13 → 3  EV=3.12
  [314/1500] B14 → 7  EV=7.00
  [315/1500] B15 → 1  EV=1.02
  [316/1500] B16 → 1  EV=1.01
  [317/1500] B17 → 1  EV=1.17
  [318/1500] B18 → 3  EV=3.25
  [319/1500] B19 → 3  EV=2.86
  [320/1500] B20 → 2  EV=2.54
  [321/1500] B21 → 3  EV=2.99
  [322/1500] B22 → 7  EV=6.42
  [323/1500] B23 → 7  EV=7.00
  [324/1500] B24 → 1  EV=1.47
  [325/1500] B25 → 1  EV=1.01
  [326/1500] B26 → 7  EV=5.47
  [327/1500] B27 → 1  EV=1.20
  [328/1500] B28 → 2  EV=2.20
  [329/1500] B29 → 7  EV=7.00
  [330/1500] B30 → 7  EV=7.00
  [331/1500] B01 → 3  EV=3.00
  [332/1500] B02 → 3  EV=3.00
  [333/1500] B03 → 3  EV=3.05
  [334/1500] B04 → 3  EV=3.00
  [335/1500] B05 → 3  EV=2.65
  [336/1500] B06 → 7  EV=5.83
  [337/1500] B07 → 3  EV=4.47
  [338/1500] B08 → 3  EV=2.99
  [339/1500] B09 → 3  EV=3.09
  [340/1500] B10 → 3  EV=3.03
  [341/1500] B11 → 6  EV=4.83
  [342/1500] B12 → 7  EV=6.97
  [343/1500] B13 → 3  EV=3.00
  [344/1500] B14 → 3  EV=3.06
  [345/1500] B15 → 1  EV=1.22
  [346/1500] B16 → 3  EV=2.75
  [347/1500] B17 → 3  EV=2.95
  [348/1500] B18 → 3  EV=3.07
  [349/1500] B19 → 3  EV=3.06
  [350/1500] B20 → 1  EV=1.92
  [351/1500] B21 → 3  EV=3.06
  [352/1500] B22 → 3  EV=2.95
  [353/1500] B23 → 3  EV=3.75
  [354/1500] B24 → 3  EV=3.04
  [355/1500] B25 → 3  EV=3.22
  [356/1500] B26 → 3  EV=3.12
  [357/1500] B27 → 1  EV=1.89
  [358/1500] B28 → 3  EV=2.97
  [359/1500] B29 → 3  EV=3.00
  [360/1500] B30 → 3  EV=3.04
  [361/1500] B01 → 7  EV=7.00
  [362/1500] B02 → 7  EV=7.00
  [363/1500] B03 → 7  EV=7.00
  [364/1500] B04 → 7  EV=7.00
  [365/1500] B05 → 7  EV=7.00
  [366/1500] B06 → 1  EV=1.62
  [367/1500] B07 → 3  EV=3.02
  [368/1500] B08 → 7  EV=6.99
  [369/1500] B09 → 7  EV=6.02
  [370/1500] B10 → 7  EV=7.00
  [371/1500] B11 → 3  EV=2.84
  [372/1500] B12 → 7  EV=7.00
  [373/1500] B13 → 7  EV=7.00
  [374/1500] B14 → 7  EV=6.97
  [375/1500] B15 → 1  EV=1.53
  [376/1500] B16 → 1  EV=1.02
  [377/1500] B17 → 3  EV=3.03
  [378/1500] B18 → 7  EV=6.99
  [379/1500] B19 → 7  EV=6.61
  [380/1500] B20 → 7  EV=6.92
  [381/1500] B21 → 7  EV=7.00
  [382/1500] B22 → 7  EV=7.00
  [383/1500] B23 → 7  EV=7.00
  [384/1500] B24 → 2  EV=3.74
  [385/1500] B25 → 7  EV=7.00
  [386/1500] B26 → 7  EV=4.46
  [387/1500] B27 → 3  EV=2.33
  [388/1500] B28 → 1  EV=3.49
  [389/1500] B29 → 7  EV=7.00
  [390/1500] B30 → 7  EV=7.00
  [391/1500] B01 → 3  EV=2.96
  [392/1500] B02 → 3  EV=2.96
  [393/1500] B03 → 3  EV=3.49
  [394/1500] B04 → 3  EV=2.87
  [395/1500] B05 → 7  EV=3.69
  [396/1500] B06 → 3  EV=3.13
  [397/1500] B07 → 3  EV=2.76
  [398/1500] B08 → 3  EV=2.46
  [399/1500] B09 → 3  EV=2.90
  [400/1500] B10 → 7  EV=6.94

  Checkpoint: 400/1500 (0.8 prompts/sec)

  [401/1500] B11 → 1  EV=1.37
  [402/1500] B12 → 3  EV=4.83
  [403/1500] B13 → 3  EV=3.49
  [404/1500] B14 → 7  EV=4.67
  [405/1500] B15 → 1  EV=2.08
  [406/1500] B16 → 1  EV=1.71
  [407/1500] B17 → 1  EV=1.13
  [408/1500] B18 → 7  EV=6.99
  [409/1500] B19 → 3  EV=3.57
  [410/1500] B20 → 1  EV=1.01
  [411/1500] B21 → 7  EV=6.40
  [412/1500] B22 → 3  EV=3.22
  [413/1500] B23 → 7  EV=6.97
  [414/1500] B24 → 1  EV=2.62
  [415/1500] B25 → 7  EV=6.79
  [416/1500] B26 → 7  EV=6.58
  [417/1500] B27 → 1  EV=1.20
  [418/1500] B28 → 1  EV=1.74
  [419/1500] B29 → 7  EV=6.97
  [420/1500] B30 → 7  EV=6.97
  [421/1500] B01 → 7  EV=7.00
  [422/1500] B02 → 7  EV=7.00
  [423/1500] B03 → 7  EV=6.42
  [424/1500] B04 → 7  EV=6.97
  [425/1500] B05 → 1  EV=2.11
  [426/1500] B06 → 3  EV=2.79
  [427/1500] B07 → 3  EV=3.59
  [428/1500] B08 → 7  EV=4.99
  [429/1500] B09 → 7  EV=6.70
  [430/1500] B10 → 7  EV=6.94
  [431/1500] B11 → 3  EV=2.99
  [432/1500] B12 → 7  EV=5.48
  [433/1500] B13 → 7  EV=7.00
  [434/1500] B14 → 7  EV=7.00
  [435/1500] B15 → 1  EV=1.09
  [436/1500] B16 → 2  EV=2.20
  [437/1500] B17 → 3  EV=3.01
  [438/1500] B18 → 3  EV=4.35
  [439/1500] B19 → 7  EV=6.99
  [440/1500] B20 → 3  EV=4.37
  [441/1500] B21 → 7  EV=7.00
  [442/1500] B22 → 7  EV=7.00
  [443/1500] B23 → 7  EV=7.00
  [444/1500] B24 → 2  EV=3.16
  [445/1500] B25 → 7  EV=7.00
  [446/1500] B26 → 3  EV=3.91
  [447/1500] B27 → 2  EV=1.68
  [448/1500] B28 → 7  EV=3.97
  [449/1500] B29 → 7  EV=7.00
  [450/1500] B30 → 7  EV=7.00
  [451/1500] B01 → 3  EV=2.71
  [452/1500] B02 → 3  EV=3.13
  [453/1500] B03 → 7  EV=5.78
  [454/1500] B04 → 3  EV=2.94
  [455/1500] B05 → 2  EV=2.75
  [456/1500] B06 → 7  EV=6.48
  [457/1500] B07 → 3  EV=4.40
  [458/1500] B08 → 2  EV=2.53
  [459/1500] B09 → 3  EV=4.38
  [460/1500] B10 → 3  EV=4.51
  [461/1500] B11 → 3  EV=3.15
  [462/1500] B12 → 7  EV=5.79
  [463/1500] B13 → 3  EV=4.45
  [464/1500] B14 → 3  EV=3.72
  [465/1500] B15 → 1  EV=2.88
  [466/1500] B16 → 1  EV=3.39
  [467/1500] B17 → 2  EV=2.34
  [468/1500] B18 → 7  EV=6.94
  [469/1500] B19 → 3  EV=2.68
  [470/1500] B20 → 1  EV=1.39
  [471/1500] B21 → 7  EV=6.71
  [472/1500] B22 → 3  EV=3.44
  [473/1500] B23 → 3  EV=4.53
  [474/1500] B24 → 2  EV=2.65
  [475/1500] B25 → 3  EV=3.19
  [476/1500] B26 → 7  EV=5.24
  [477/1500] B27 → 1  EV=1.36
  [478/1500] B28 → 3  EV=2.68
  [479/1500] B29 → 7  EV=4.83
  [480/1500] B30 → 7  EV=6.79
  [481/1500] B01 → 3  EV=3.54
  [482/1500] B02 → 3  EV=3.42
  [483/1500] B03 → 6  EV=5.13
  [484/1500] B04 → 3  EV=3.00
  [485/1500] B05 → 3  EV=3.00
  [486/1500] B06 → 3  EV=3.00
  [487/1500] B07 → 3  EV=3.04
  [488/1500] B08 → 3  EV=3.08
  [489/1500] B09 → 3  EV=4.51
  [490/1500] B10 → 6  EV=4.97
  [491/1500] B11 → 3  EV=2.99
  [492/1500] B12 → 7  EV=6.55
  [493/1500] B13 → 3  EV=3.04
  [494/1500] B14 → 3  EV=3.04
  [495/1500] B15 → 3  EV=2.96
  [496/1500] B16 → 3  EV=2.98
  [497/1500] B17 → 3  EV=3.02
  [498/1500] B18 → 3  EV=3.00
  [499/1500] B19 → 3  EV=3.21
  [500/1500] B20 → 3  EV=2.85

  Checkpoint: 500/1500 (0.8 prompts/sec)

  [501/1500] B21 → 3  EV=3.42
  [502/1500] B22 → 3  EV=3.06
  [503/1500] B23 → 3  EV=3.29
  [504/1500] B24 → 3  EV=3.01
  [505/1500] B25 → 3  EV=3.50
  [506/1500] B26 → 3  EV=3.04
  [507/1500] B27 → 3  EV=2.98
  [508/1500] B28 → 3  EV=3.01
  [509/1500] B29 → 3  EV=3.03
  [510/1500] B30 → 6  EV=5.98
  [511/1500] B01 → 3  EV=3.00
  [512/1500] B02 → 3  EV=3.01
  [513/1500] B03 → 3  EV=3.08
  [514/1500] B04 → 3  EV=2.97
  [515/1500] B05 → 3  EV=2.83
  [516/1500] B06 → 3  EV=3.22
  [517/1500] B07 → 3  EV=3.47
  [518/1500] B08 → 3  EV=2.99
  [519/1500] B09 → 3  EV=3.31
  [520/1500] B10 → 6  EV=5.00
  [521/1500] B11 → 6  EV=4.80
  [522/1500] B12 → 6  EV=5.44
  [523/1500] B13 → 3  EV=2.99
  [524/1500] B14 → 3  EV=3.09
  [525/1500] B15 → 3  EV=2.97
  [526/1500] B16 → 3  EV=3.02
  [527/1500] B17 → 3  EV=2.86
  [528/1500] B18 → 6  EV=5.46
  [529/1500] B19 → 3  EV=3.28
  [530/1500] B20 → 3  EV=2.73
  [531/1500] B21 → 3  EV=3.00
  [532/1500] B22 → 3  EV=3.01
  [533/1500] B23 → 3  EV=2.99
  [534/1500] B24 → 3  EV=3.08
  [535/1500] B25 → 3  EV=3.41
  [536/1500] B26 → 3  EV=3.64
  [537/1500] B27 → 2  EV=2.38
  [538/1500] B28 → 3  EV=2.99
  [539/1500] B29 → 6  EV=5.13
  [540/1500] B30 → 3  EV=3.47
  [541/1500] B01 → 3  EV=3.81
  [542/1500] B02 → 7  EV=5.74
  [543/1500] B03 → 7  EV=6.72
  [544/1500] B04 → 3  EV=2.43
  [545/1500] B05 → 1  EV=2.86
  [546/1500] B06 → 7  EV=6.45
  [547/1500] B07 → 7  EV=5.31
  [548/1500] B08 → 3  EV=3.58
  [549/1500] B09 → 3  EV=2.64
  [550/1500] B10 → 7  EV=6.93
  [551/1500] B11 → 3  EV=3.20
  [552/1500] B12 → 7  EV=7.00
  [553/1500] B13 → 3  EV=2.95
  [554/1500] B14 → 7  EV=7.00
  [555/1500] B15 → 1  EV=1.04
  [556/1500] B16 → 1  EV=1.05
  [557/1500] B17 → 1  EV=1.32
  [558/1500] B18 → 7  EV=6.34
  [559/1500] B19 → 7  EV=6.50
  [560/1500] B20 → 1  EV=1.02
  [561/1500] B21 → 7  EV=6.81
  [562/1500] B22 → 3  EV=3.01
  [563/1500] B23 → 1  EV=2.67
  [564/1500] B24 → 1  EV=1.88
  [565/1500] B25 → 7  EV=4.89
  [566/1500] B26 → 7  EV=5.65
  [567/1500] B27 → 1  EV=1.01
  [568/1500] B28 → 1  EV=1.02
  [569/1500] B29 → 7  EV=6.77
  [570/1500] B30 → 7  EV=6.96
  [571/1500] B01 → 7  EV=7.00
  [572/1500] B02 → 7  EV=6.99
  [573/1500] B03 → 7  EV=7.00
  [574/1500] B04 → 7  EV=7.00
  [575/1500] B05 → 7  EV=6.96
  [576/1500] B06 → 3  EV=2.19
  [577/1500] B07 → 3  EV=3.06
  [578/1500] B08 → 7  EV=6.96
  [579/1500] B09 → 7  EV=6.83
  [580/1500] B10 → 7  EV=6.84
  [581/1500] B11 → 3  EV=2.99
  [582/1500] B12 → 7  EV=6.98
  [583/1500] B13 → 7  EV=7.00
  [584/1500] B14 → 7  EV=6.84
  [585/1500] B15 → 1  EV=1.01
  [586/1500] B16 → 1  EV=1.87
  [587/1500] B17 → 3  EV=2.99
  [588/1500] B18 → 7  EV=6.81
  [589/1500] B19 → 3  EV=4.49
  [590/1500] B20 → 7  EV=4.76
  [591/1500] B21 → 7  EV=7.00
  [592/1500] B22 → 7  EV=7.00
  [593/1500] B23 → 7  EV=7.00
  [594/1500] B24 → 3  EV=3.82
  [595/1500] B25 → 7  EV=6.95
  [596/1500] B26 → 7  EV=6.20
  [597/1500] B27 → 2  EV=2.35
  [598/1500] B28 → 3  EV=3.65
  [599/1500] B29 → 7  EV=7.00
  [600/1500] B30 → 7  EV=7.00

  Checkpoint: 600/1500 (0.8 prompts/sec)

  [601/1500] B01 → 3  EV=3.00
  [602/1500] B02 → 3  EV=3.00
  [603/1500] B03 → 3  EV=4.31
  [604/1500] B04 → 3  EV=3.00
  [605/1500] B05 → 3  EV=3.30
  [606/1500] B06 → 3  EV=4.01
  [607/1500] B07 → 3  EV=2.93
  [608/1500] B08 → 3  EV=3.00
  [609/1500] B09 → 3  EV=2.99
  [610/1500] B10 → 3  EV=3.03
  [611/1500] B11 → 3  EV=2.99
  [612/1500] B12 → 7  EV=6.92
  [613/1500] B13 → 3  EV=3.00
  [614/1500] B14 → 7  EV=7.00
  [615/1500] B15 → 3  EV=2.93
  [616/1500] B16 → 2  EV=2.21
  [617/1500] B17 → 3  EV=2.54
  [618/1500] B18 → 3  EV=2.99
  [619/1500] B19 → 3  EV=3.00
  [620/1500] B20 → 1  EV=1.00
  [621/1500] B21 → 3  EV=3.00
  [622/1500] B22 → 3  EV=3.00
  [623/1500] B23 → 7  EV=6.61
  [624/1500] B24 → 1  EV=1.41
  [625/1500] B25 → 3  EV=3.04
  [626/1500] B26 → 2  EV=2.86
  [627/1500] B27 → 1  EV=1.15
  [628/1500] B28 → 3  EV=2.54
  [629/1500] B29 → 3  EV=3.01
  [630/1500] B30 → 7  EV=6.93
  [631/1500] B01 → 6  EV=5.60
  [632/1500] B02 → 6  EV=5.79
  [633/1500] B03 → 6  EV=5.84
  [634/1500] B04 → 6  EV=5.05
  [635/1500] B05 → 3  EV=4.31
  [636/1500] B06 → 6  EV=4.83
  [637/1500] B07 → 6  EV=5.95
  [638/1500] B08 → 6  EV=4.82
  [639/1500] B09 → 6  EV=5.99
  [640/1500] B10 → 6  EV=5.62
  [641/1500] B11 → 3  EV=3.07
  [642/1500] B12 → 6  EV=5.69
  [643/1500] B13 → 6  EV=4.52
  [644/1500] B14 → 6  EV=5.76
  [645/1500] B15 → 3  EV=3.38
  [646/1500] B16 → 3  EV=3.23
  [647/1500] B17 → 6  EV=5.83
  [648/1500] B18 → 6  EV=5.75
  [649/1500] B19 → 6  EV=5.88
  [650/1500] B20 → 3  EV=4.16
  [651/1500] B21 → 6  EV=4.67
  [652/1500] B22 → 6  EV=4.80
  [653/1500] B23 → 7  EV=6.97
