persona_id,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30
s31,4,2,2,1,6,1,2,2,2,5,1,4,4,2,7,1,2,4,4,4,4,2,7,1,5,1,6,2,1,5
s32,7,7,7,7,7,1,1,4,2,7,7,7,4,7,7,2,4,7,7,4,4,7,7,7,7,7,1,4,7,7
s33,4,4,2,1,7,1,4,5,1,5,1,4,4,2,7,4,4,2,4,2,4,1,2,7,7,4,6,4,2,5
s34,4,4,4,4,4,7,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
s35,4,4,4,4,4,2,4,4,4,4,5,1,1,4,5,3,4,4,4,4,4,4,4,4,5,4,4,5,5,6
s36,4,4,5,7,7,7,4,4,7,4,4,4,1,4,1,7,4,1,5,5,4,4,7,7,7,7,6,4,7,4
s37,4,7,7,7,7,1,1,7,1,5,5,4,4,7,1,1,5,7,5,4,4,7,7,7,5,4,4,7,7,6
s38,7,7,7,7,7,1,2,6,1,5,1,7,4,7,7,1,5,7,7,7,4,7,1,7,7,7,4,2,1,1
s39,7,4,7,7,7,1,7,7,1,7,1,7,7,7,7,1,4,7,7,4,4,7,7,7,7,4,7,1,7,7
s40,4,2,4,1,4,7,7,4,4,4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4
s41,4,4,4,4,4,1,4,4,4,4,7,1,5,1,4,5,4,5,4,4,1,4,4,4,7,4,4,5,7,6
s42,4,1,7,5,4,1,4,2,2,7,7,4,4,2,1,2,1,4,4,4,4,4,1,2,7,6,2,2,2,2
s43,4,7,7,7,1,1,2,7,1,7,7,7,4,2,1,2,5,7,7,4,4,7,1,1,7,1,2,2,1,1
s44,7,7,7,7,7,7,2,7,1,7,7,4,4,7,1,7,4,7,7,4,7,7,7,7,7,7,7,4,7,7
s45,4,1,4,5,5,2,5,7,5,7,7,1,4,1,4,5,4,1,1,4,4,4,4,7,5,4,4,4,5,5
s46,4,1,1,7,4,4,4,5,4,1,7,5,5,2,4,5,4,1,5,4,1,1,4,7,5,4,4,4,4,7
s47,4,2,1,1,5,7,7,2,1,4,2,4,4,4,7,7,4,7,4,1,4,4,1,2,7,1,7,2,2,5
s48,2,4,7,1,7,1,2,2,2,7,7,5,2,2,2,2,4,2,4,2,4,2,2,7,7,1,6,2,6,5
s49,4,4,1,5,4,7,7,6,1,4,6,4,4,4,1,6,5,5,4,4,4,4,1,7,5,4,6,1,4,4
s50,4,4,7,2,4,4,1,2,5,4,4,4,4,1,4,7,5,7,1,5,4,4,1,1,7,4,4,4,2,4
s51,4,1,4,7,5,7,4,5,2,4,1,5,1,1,4,4,4,2,1,4,1,4,4,7,7,4,1,4,4,4
s52,7,7,7,7,7,1,1,1,2,7,7,4,7,7,1,1,7,7,7,4,4,7,4,7,7,7,2,1,7,1
s53,4,4,4,5,5,6,2,4,5,5,7,1,2,4,4,4,4,4,4,4,4,4,2,7,7,4,4,1,4,4
s54,4,4,7,7,7,1,2,7,2,7,7,7,4,7,1,1,4,7,7,4,4,7,4,7,7,4,6,7,7,7
s55,4,2,4,2,4,7,2,2,4,1,6,7,4,2,4,6,6,6,2,5,2,4,2,4,5,4,2,4,4,4
s56,4,4,4,1,4,6,2,6,2,4,6,4,2,1,7,2,5,4,4,4,4,4,1,4,2,4,6,5,1,6
s57,2,7,7,7,2,2,2,2,5,7,1,7,4,4,2,2,5,7,4,4,4,4,2,4,7,4,5,5,1,5
s58,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
s59,4,4,4,5,7,2,4,4,5,7,7,5,1,1,4,4,4,2,1,4,4,4,4,7,5,4,4,4,4,5
s60,4,1,4,4,5,1,2,7,2,5,2,5,4,4,1,1,5,4,5,4,4,5,4,7,7,6,2,2,7,7
s61,7,7,7,7,7,2,2,4,1,7,1,7,4,4,7,2,4,7,7,4,4,7,1,7,7,7,4,1,7,7
s62,4,4,4,4,5,4,4,4,4,4,1,4,4,2,1,7,4,4,4,2,4,4,4,4,4,2,4,4,2,4
s63,4,7,4,7,7,7,7,4,4,7,7,5,4,4,1,7,4,7,4,4,4,4,4,7,7,4,4,4,4,4
s64,4,2,2,1,7,1,4,4,2,7,7,4,4,4,7,7,5,4,2,4,4,4,2,7,7,4,4,2,6,6
s65,4,7,4,7,4,4,5,5,7,7,7,4,4,4,1,5,5,7,4,4,4,4,4,7,4,4,6,4,4,4
s66,4,7,7,7,1,2,2,7,1,7,1,7,1,2,7,7,5,7,7,4,2,7,1,7,7,7,4,2,5,7
s67,7,7,7,7,7,2,1,7,1,7,1,7,7,7,7,1,5,7,7,7,7,7,4,7,7,7,7,7,7,7
s68,4,1,2,1,5,1,7,2,1,4,1,4,4,1,7,7,5,2,2,4,2,4,2,2,2,2,2,1,2,4
s69,4,1,2,1,5,1,7,4,1,4,1,4,4,2,7,7,5,4,4,4,4,4,2,2,2,1,2,1,2,2
s70,4,4,5,2,7,7,4,4,4,4,7,4,4,4,7,7,4,2,4,4,4,4,2,4,6,2,4,1,2,2
s71,4,4,7,7,4,1,2,4,7,7,7,4,4,7,7,7,5,7,4,5,4,4,7,7,7,7,4,5,4,5
s72,4,5,7,7,7,1,2,7,2,1,7,1,5,4,7,6,4,5,1,7,1,4,4,5,5,4,1,5,4,7
s73,4,4,4,7,7,1,2,5,2,4,7,1,1,1,4,4,4,1,1,4,2,5,4,4,7,4,7,4,4,2
s74,4,7,7,4,4,1,2,4,1,7,1,4,4,4,1,4,4,7,7,4,4,7,4,7,5,7,4,1,7,7
s75,4,4,4,7,7,4,4,4,4,4,4,4,4,4,7,5,4,4,4,4,4,4,4,4,5,4,7,4,4,7
s76,4,4,7,7,7,1,7,4,1,7,7,4,4,7,1,2,5,7,7,4,4,7,4,7,7,7,4,7,7,7
s77,4,4,7,4,7,1,4,7,7,5,7,1,1,2,1,1,5,1,1,4,1,7,7,7,7,4,6,7,7,7
s78,4,4,5,7,4,7,7,4,4,4,7,4,5,1,7,4,5,2,1,5,4,4,1,7,7,4,5,5,4,4
s79,4,4,5,2,2,1,7,4,4,4,1,4,4,4,7,7,4,4,4,4,2,4,4,7,7,1,7,1,2,6
s80,4,4,4,1,7,4,4,4,4,1,7,4,4,7,4,4,4,4,4,4,4,4,4,7,5,4,4,4,4,5
s81,4,1,4,5,4,2,5,4,2,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4
s82,4,4,5,7,7,2,2,4,1,7,1,1,2,1,4,7,4,1,1,4,4,4,4,7,7,6,7,4,4,5
s83,2,1,1,2,1,1,7,2,1,1,7,7,2,1,1,7,5,1,2,1,2,2,2,1,7,1,1,1,2,2
s84,4,1,1,4,4,7,4,4,1,7,7,4,4,7,1,1,4,4,5,7,4,7,4,4,7,7,7,4,4,4
s85,4,4,5,1,7,1,2,2,2,7,7,7,1,4,1,1,1,4,1,7,2,4,2,7,7,1,6,2,1,1
s86,4,4,4,7,4,7,4,5,2,5,2,1,1,1,4,4,4,5,1,4,1,5,4,7,7,4,4,4,4,2
s87,4,4,4,4,4,1,4,4,7,4,5,4,2,2,2,5,4,1,1,4,4,4,4,7,4,4,5,2,4,4
s88,4,4,4,4,5,1,7,4,4,4,2,4,4,3,5,4,4,4,4,4,4,4,2,4,5,4,4,4,4,4
s89,4,1,2,7,7,1,7,4,2,4,4,4,4,7,4,7,4,1,2,2,4,4,1,7,7,4,4,5,4,4
s90,4,1,4,1,4,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
s91,4,4,4,4,7,4,4,4,1,4,7,4,4,4,4,4,4,2,4,4,4,4,2,7,7,4,4,4,4,2
s92,4,1,4,7,7,7,4,4,7,5,7,4,4,7,7,1,4,7,4,5,4,7,4,7,5,4,6,4,4,5
s93,4,4,7,7,7,1,2,1,2,5,1,7,4,4,1,2,1,4,4,4,2,6,1,2,7,1,2,1,1,1
s94,4,5,7,7,5,7,2,4,1,4,7,4,4,4,4,7,5,2,7,4,4,4,2,7,7,4,4,4,2,4
s95,4,4,4,5,4,1,2,4,1,4,4,4,2,2,4,5,4,6,5,4,4,4,1,4,5,5,5,5,4,4
s96,4,1,2,5,4,7,4,4,7,4,7,4,4,4,7,1,4,7,4,7,4,4,2,7,4,1,6,1,4,4
s97,4,4,1,7,7,4,4,4,7,4,4,4,4,4,7,7,4,4,4,4,4,4,4,4,7,7,4,4,4,7
s98,4,1,7,5,2,2,2,7,5,7,7,7,4,1,4,4,4,4,4,4,2,4,1,4,7,6,4,4,2,2
s99,4,4,4,7,7,1,2,4,1,5,7,4,4,4,7,1,5,7,4,4,4,4,4,7,7,7,4,1,7,1
s100,1,7,7,5,1,1,1,7,1,7,1,7,4,1,7,1,1,7,7,7,2,7,2,7,7,7,7,2,1,1
s101,7,1,7,7,7,1,2,7,2,7,1,1,5,7,1,1,5,1,1,4,5,7,7,7,7,4,7,1,7,7
s102,5,4,1,5,7,1,7,4,7,4,4,1,1,1,7,5,4,1,5,4,1,4,7,7,7,5,6,4,4,7
s103,4,1,2,4,1,7,7,2,4,4,7,4,4,4,7,7,4,4,4,4,2,4,2,6,4,2,4,1,2,5
s104,4,2,4,1,4,1,2,4,1,4,4,4,4,4,7,6,4,7,4,4,4,4,4,7,4,4,4,4,4,4
s105,2,1,7,7,7,1,2,5,5,7,7,7,4,1,4,4,4,4,4,2,4,4,2,4,7,1,4,1,2,5
s106,4,1,1,1,7,7,4,4,1,4,7,4,5,5,7,1,4,1,5,4,1,4,4,7,5,4,4,4,4,4
s107,4,4,1,2,1,1,4,2,2,4,6,4,4,2,1,2,5,1,2,6,2,5,2,6,1,2,4,5,1,6
s108,7,4,7,5,7,2,1,4,1,7,1,7,1,4,4,5,4,4,7,4,4,5,4,7,7,7,7,4,7,1
s109,4,4,5,4,5,7,7,4,1,4,1,4,4,4,7,7,4,4,4,2,4,4,6,6,1,2,2,1,2,5
s110,4,2,4,4,4,7,5,4,7,7,6,4,4,4,5,4,4,6,4,5,4,4,2,7,5,6,4,5,4,4
s111,4,4,4,4,7,4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4
s112,2,4,2,1,6,1,2,1,2,4,1,1,4,4,6,1,2,4,1,6,2,4,2,6,2,1,2,1,2,1
s113,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4
s114,4,7,7,7,4,1,2,4,4,7,5,4,4,4,1,2,4,7,7,4,4,6,1,7,4,4,4,5,7,1
s115,4,4,5,4,4,1,7,4,1,4,6,4,4,4,7,7,4,2,1,4,4,4,4,5,7,1,2,1,2,5
s116,4,4,4,1,4,4,4,4,4,1,7,4,1,1,7,7,4,2,4,4,1,4,4,7,7,4,6,4,4,7
s117,4,4,6,4,1,7,7,2,1,4,7,4,4,4,7,7,4,2,4,4,4,4,2,2,7,2,7,1,2,2
s118,4,1,7,1,1,1,2,2,1,7,7,7,4,1,7,2,7,7,7,7,4,7,1,1,7,7,6,1,1,7
s119,4,4,2,7,4,1,2,4,2,4,1,1,2,2,7,4,4,1,1,2,2,4,2,4,7,4,6,4,4,2
s120,4,1,1,4,7,2,2,4,1,4,7,4,4,7,7,2,4,1,2,5,4,7,1,2,7,7,7,1,2,5
s121,7,7,5,7,7,1,2,4,1,7,7,5,4,7,4,7,4,4,4,4,4,7,1,7,7,4,1,1,5,7
s122,7,7,7,7,4,1,2,7,7,7,2,5,1,1,1,7,4,5,5,7,4,7,4,7,7,4,1,4,7,7
s123,4,2,4,1,5,7,7,2,2,1,1,4,4,4,7,7,5,4,4,4,4,4,4,5,5,5,4,2,2,4
s124,4,4,4,4,4,7,7,4,4,4,4,4,4,4,7,7,4,4,4,4,4,4,7,4,5,1,4,4,4,4
s125,4,4,4,4,4,7,7,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,4,5,4,4,4,4,4
s126,4,5,7,7,7,1,1,4,1,7,7,2,5,2,4,4,5,2,1,2,2,5,1,7,7,4,7,7,7,2
s127,7,1,5,7,7,1,1,5,7,5,7,1,5,5,7,1,5,1,5,4,1,5,4,7,7,4,4,1,7,7
s128,4,1,4,4,4,1,4,5,4,7,4,4,4,2,5,4,4,4,4,4,4,4,4,4,5,4,4,4,2,4
s129,4,4,7,1,7,7,7,4,2,4,7,5,1,2,7,4,4,2,4,4,2,2,1,7,7,4,7,5,4,4
s130,4,4,4,7,4,7,4,7,1,7,5,4,4,4,7,5,5,5,4,4,4,4,4,5,4,4,5,5,6,6
s131,7,7,7,7,7,2,1,4,1,7,7,7,4,7,7,4,4,7,5,4,4,7,4,7,7,7,4,4,7,1
s132,4,4,5,2,5,6,2,6,5,4,4,4,4,2,7,4,4,7,4,5,4,4,4,4,7,4,4,5,5,6
s133,4,4,2,1,5,1,7,4,1,4,4,4,4,4,1,7,4,4,4,2,4,4,4,6,7,2,4,1,2,4
s134,2,1,7,2,2,7,4,4,4,4,7,1,4,4,7,7,4,2,4,2,2,4,2,7,7,1,4,1,2,6
s135,7,7,7,7,4,2,2,6,1,7,7,5,4,7,7,7,4,7,4,4,4,7,7,7,5,7,4,5,7,1
s136,4,4,5,7,7,7,4,4,7,1,7,4,1,1,7,7,4,1,1,4,1,4,7,7,5,4,7,4,4,7
s137,7,7,4,7,7,1,2,7,2,7,7,4,4,7,1,7,4,7,5,4,7,4,4,7,7,7,7,7,7,7
s138,4,5,4,7,7,1,4,5,2,5,2,5,5,2,5,4,4,2,5,2,2,5,2,7,7,4,7,4,4,2
s139,7,7,7,7,7,2,1,7,1,7,7,7,1,4,2,2,5,4,5,4,4,7,4,4,7,7,4,1,7,1
s140,4,4,7,5,6,1,4,2,2,4,7,4,4,1,1,2,2,4,4,2,4,4,1,2,2,2,1,1,1,1
s141,4,5,4,4,4,1,2,7,2,5,1,4,4,4,1,4,4,7,7,4,4,6,4,4,7,7,2,1,7,7
s142,4,4,5,2,5,1,7,4,2,4,1,4,4,2,4,1,4,4,4,2,2,4,2,4,2,2,4,1,2,5
s143,4,4,7,7,7,1,4,7,7,1,7,4,1,5,7,6,5,1,5,4,1,5,7,7,5,4,4,7,7,7
s144,4,1,7,2,7,4,7,4,1,4,7,4,4,1,4,7,4,3,4,4,2,1,2,4,7,1,4,1,2,6
s145,4,1,7,1,4,7,4,6,1,4,6,4,2,1,1,1,5,4,4,5,4,6,7,7,5,5,2,5,7,7
s146,7,7,7,7,7,1,1,7,5,7,7,7,7,7,7,5,5,7,5,4,7,7,4,7,7,7,7,4,7,1
s147,4,1,7,7,7,1,7,4,1,5,7,7,4,7,5,2,5,7,7,4,4,4,7,7,7,4,6,1,7,7
s148,4,4,4,7,7,7,2,4,2,7,1,7,1,2,4,1,4,1,1,4,1,4,4,7,7,4,4,7,7,6
s149,4,1,7,7,7,1,2,4,7,5,1,1,5,5,1,1,5,5,1,7,5,7,7,7,5,4,4,7,7,7
s150,7,1,7,7,7,1,1,7,2,5,7,4,1,5,7,7,4,5,1,4,1,4,4,7,7,4,7,1,7,6
s151,4,4,1,5,4,2,7,4,6,1,5,4,4,1,5,2,2,6,4,4,2,4,1,4,5,1,6,5,2,4
s152,4,7,6,7,4,2,2,7,5,5,7,7,4,4,1,4,4,7,4,4,4,4,4,4,7,4,6,4,5,1
s153,4,7,4,7,7,7,2,7,1,7,7,7,4,7,1,7,4,7,7,4,4,4,4,7,7,7,7,4,7,7
s154,4,4,4,4,4,7,7,4,4,4,1,4,4,4,7,7,4,4,4,4,4,4,2,4,4,1,4,1,2,4
s155,4,4,7,7,5,1,2,7,2,7,7,7,4,7,7,5,4,7,7,4,4,4,4,7,7,4,5,4,7,7
s156,2,1,7,5,7,1,2,4,1,7,7,7,4,1,1,4,4,7,4,5,4,4,1,4,7,4,6,1,1,7
s157,4,5,1,4,7,2,2,4,5,4,7,4,4,7,4,4,5,2,4,5,4,4,2,4,7,4,4,1,4,4
s158,5,4,7,7,4,1,2,6,5,5,2,4,2,1,7,5,5,7,1,5,1,7,4,7,7,4,4,1,7,7
s159,2,4,1,5,2,7,4,4,5,4,1,4,4,2,4,4,4,7,2,7,2,6,1,7,7,2,4,2,2,2
s160,4,4,4,1,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,4,4,4,4,4
s161,2,4,3,2,1,4,2,4,4,4,4,4,2,1,4,2,4,4,4,4,2,4,2,4,7,2,4,1,2,4
s162,4,7,7,7,5,1,2,7,1,7,7,4,7,4,1,2,7,7,7,4,4,7,4,7,5,7,1,1,7,7
s163,2,4,2,5,5,1,6,5,2,2,1,5,4,4,5,5,5,4,4,5,4,4,4,7,7,6,6,1,2,5
s164,4,4,5,7,2,2,2,7,1,7,1,5,4,7,7,2,7,2,4,5,4,7,2,7,7,4,6,1,6,1
s165,4,1,7,4,7,4,1,7,2,4,7,2,1,7,1,1,5,1,5,4,2,5,4,7,7,5,4,7,7,7
s166,4,4,1,7,7,1,2,4,2,5,7,4,4,7,1,6,5,2,7,4,4,4,2,7,7,4,4,1,1,7
s167,4,5,4,7,4,1,4,7,7,4,7,4,5,1,1,7,5,5,5,7,1,4,4,7,5,4,6,7,7,6
s168,4,2,7,4,4,4,2,4,4,4,4,4,4,2,4,2,4,7,4,5,4,4,2,1,7,4,4,4,2,4
s169,4,7,7,7,7,2,1,7,1,7,1,7,4,7,7,4,4,7,7,4,4,7,4,7,7,4,4,1,7,6
s170,4,1,4,4,7,4,4,4,7,4,4,4,1,1,4,4,4,5,1,4,1,5,4,7,5,4,5,4,4,7
s171,2,4,4,1,5,6,5,4,5,4,1,7,4,2,4,4,4,4,4,4,4,4,4,4,7,1,6,4,2,4
s172,4,4,7,4,5,7,2,4,2,4,2,5,4,4,1,5,4,7,1,4,4,4,7,4,5,4,6,1,4,4
s173,2,4,7,2,7,1,7,2,2,2,2,4,2,2,7,7,5,2,4,2,2,2,2,2,1,1,1,1,2,6
s174,4,7,7,5,7,1,2,7,1,7,7,7,1,2,7,1,7,7,7,4,4,7,1,1,7,1,2,1,7,7
s175,1,4,7,7,7,2,1,7,1,7,7,7,4,7,2,2,4,1,7,4,4,4,2,7,7,4,2,1,2,1
s176,4,2,5,4,4,7,7,2,5,4,1,4,4,4,7,7,4,4,4,4,4,4,2,2,4,1,7,1,2,4
s177,4,4,7,7,7,7,4,4,7,5,7,1,5,1,7,1,5,2,5,5,4,7,7,7,5,4,6,7,7,7
s178,4,5,7,7,7,1,2,7,2,5,7,1,7,2,1,5,5,2,1,4,2,7,4,7,7,4,4,1,7,7
s179,4,4,2,4,1,1,7,2,2,4,6,4,4,2,5,7,5,2,4,4,4,4,2,4,7,2,2,2,2,2
s180,4,7,4,7,7,1,2,4,1,7,7,7,4,7,7,1,5,7,7,4,4,7,4,7,7,4,1,1,7,7
s181,4,4,4,7,4,7,2,4,4,4,7,4,4,7,6,5,5,7,4,4,4,4,4,4,7,4,6,6,7,6
s182,4,1,4,7,6,1,1,4,1,7,7,7,4,7,7,1,4,7,7,4,4,7,4,7,7,4,1,7,7,7
s183,4,4,4,4,4,1,6,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,5,4,4,4,4,4
s184,4,7,4,7,7,7,5,4,1,5,5,5,4,7,4,5,4,7,4,4,4,4,4,7,4,4,5,4,6,1
s185,2,4,2,1,2,1,2,6,2,2,7,7,4,4,4,5,5,4,4,6,4,4,2,4,7,1,4,1,1,2
s186,4,5,4,7,7,7,2,7,1,5,7,7,4,7,1,1,5,7,7,4,4,7,4,7,5,4,6,7,7,1
s187,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,7,4,6,4,4,4
s188,2,1,4,5,5,1,2,4,5,7,7,7,2,2,7,2,7,4,7,4,4,6,1,7,7,1,7,1,1,1
s189,4,4,1,1,7,4,2,4,7,4,4,4,4,4,7,7,4,4,4,4,4,4,4,4,7,7,6,4,4,7
s190,4,2,5,1,4,1,4,2,2,7,7,4,1,5,7,7,5,1,4,4,1,4,2,7,5,4,7,7,5,7
s191,4,4,5,4,4,1,7,4,4,4,6,4,4,4,7,7,7,1,4,4,4,4,4,2,7,5,4,1,2,5
s192,4,7,4,7,7,1,7,7,1,7,7,7,4,7,7,2,4,7,4,4,4,4,7,4,7,7,7,7,7,7
s193,4,7,7,7,7,1,2,4,1,7,1,7,4,7,1,7,7,7,7,4,4,7,4,7,7,4,4,1,7,7
s194,4,4,2,1,1,1,7,1,2,4,2,4,4,2,4,7,4,2,4,2,4,4,4,2,2,2,4,2,2,5
s195,4,2,1,1,2,7,4,2,1,1,7,4,4,7,4,5,4,2,1,5,4,4,2,7,7,7,4,7,4,4
s196,4,4,4,1,4,1,7,4,1,4,6,4,2,2,2,5,5,1,5,5,4,4,1,7,5,5,5,1,4,4
s197,4,7,5,1,7,1,2,4,2,6,7,4,4,2,1,2,5,4,1,4,4,2,2,7,7,1,2,2,5,1
s198,2,1,1,5,1,1,1,7,1,7,7,7,4,1,7,2,2,4,7,2,4,5,2,1,7,1,6,1,1,7
s199,4,1,1,4,4,1,4,4,4,4,7,4,4,7,7,7,4,4,4,4,4,4,4,4,5,4,4,4,4,7
s200,4,1,1,4,7,4,4,5,7,4,4,4,4,4,7,7,4,5,4,4,4,4,7,4,5,4,7,4,4,4
s201,4,2,6,5,5,1,2,4,4,4,2,4,2,2,4,6,5,4,4,5,4,4,4,6,7,2,4,1,5,6
s202,4,4,7,7,4,1,7,4,7,7,4,4,4,4,7,7,4,7,4,4,4,4,4,7,7,7,4,7,4,4
s203,4,1,1,5,1,7,7,4,4,1,7,4,7,1,7,7,4,1,1,4,4,4,4,7,7,4,4,4,4,5
s204,4,2,4,4,5,1,7,4,2,4,1,4,4,4,7,2,4,3,4,2,4,4,4,5,2,1,4,2,2,4
s205,4,4,1,7,2,7,1,5,1,7,7,5,7,7,2,2,5,2,4,5,7,4,1,4,7,7,7,5,7,6
s206,2,1,7,5,1,2,2,4,1,7,7,4,2,1,2,1,6,2,2,2,2,2,1,2,7,2,6,1,2,1
s207,4,4,4,7,7,1,2,4,2,5,1,7,4,7,7,2,5,7,4,4,4,7,4,7,7,4,4,1,7,1
s208,4,1,1,1,4,1,4,4,7,4,4,4,4,4,7,7,4,4,4,5,4,4,7,7,5,4,7,4,4,4
s209,4,4,5,7,7,7,4,4,2,4,4,1,5,5,7,7,4,2,1,4,1,4,6,7,5,4,4,4,4,4
s210,4,2,4,5,5,2,2,4,2,4,7,5,2,4,4,4,4,2,4,5,4,4,2,4,5,1,4,1,2,5
s211,4,2,1,1,4,4,2,2,4,1,7,1,4,2,4,2,4,1,2,4,4,4,1,7,7,4,2,4,2,4
s212,4,1,4,7,7,1,7,7,1,5,7,5,4,7,1,4,4,7,4,4,4,7,4,7,7,4,4,4,7,6
s213,4,1,4,1,4,4,4,1,4,7,7,4,4,4,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4
s214,2,4,6,2,6,2,2,4,4,4,4,4,2,1,4,2,4,2,1,2,4,4,2,2,2,5,4,4,2,4
s215,2,1,2,5,6,1,2,6,2,5,7,5,2,4,6,2,6,1,5,6,2,4,2,2,7,1,2,2,5,6
s216,4,4,1,7,7,2,1,4,1,7,4,5,4,4,4,4,4,4,4,4,4,4,7,7,5,4,7,4,4,4
s217,4,7,4,5,4,1,4,4,2,4,7,4,4,2,4,6,4,7,4,4,4,4,4,4,5,4,4,4,4,5
s218,4,4,5,5,6,1,2,2,2,4,6,4,4,1,6,6,4,4,2,4,4,4,2,5,7,1,6,5,2,5
s219,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4
