Model:    phi4-mini:latest
  [101/12000] B11 → 6  EV=4.09
  [102/12000] B12 → 7  EV=5.95
  [103/12000] B13 → 6  EV=4.66
  [104/12000] B14 → 6  EV=4.67
  [105/12000] B15 → 3  EV=3.29
  [106/12000] B16 → 6  EV=3.81
  [107/12000] B17 → 6  EV=4.21
  [108/12000] B18 → 6  EV=3.96
  [109/12000] B19 → 6  EV=3.82
  [110/12000] B20 → 6  EV=4.36
  [111/12000] B21 → 3  EV=4.04
  [112/12000] B22 → 6  EV=4.32
  [113/12000] B23 → 6  EV=5.35
  [114/12000] B24 → 3  EV=3.34
  [115/12000] B25 → 1  EV=3.32
  [116/12000] B26 → 2  EV=3.24
  [117/12000] B27 → 6  EV=3.62
  [118/12000] B28 → 6  EV=4.43
  [119/12000] B29 → 6  EV=5.63
  [120/12000] B30 → 6  EV=4.82
  [121/12000] B01 → 1  EV=2.44
  [122/12000] B02 → 1  EV=3.67
  [123/12000] B03 → 1  EV=2.47
  [124/12000] B04 → 1  EV=3.56
  [125/12000] B05 → 1  EV=2.01
  [126/12000] B06 → 1  EV=1.26
  [127/12000] B07 → 1  EV=2.68
  [128/12000] B08 → 1  EV=3.26
  [129/12000] B09 → 1  EV=2.26
  [130/12000] B10 → 7  EV=5.03
  [131/12000] B11 → 2  EV=3.17
  [132/12000] B12 → 1  EV=2.85
  [133/12000] B13 → 6  EV=4.16
  [134/12000] B14 → 2  EV=3.46
  [135/12000] B15 → 2  EV=2.72
  [136/12000] B16 → 1  EV=2.94
  [137/12000] B17 → 1  EV=3.49
  [138/12000] B18 → 1  EV=2.27
  [139/12000] B19 → 1  EV=2.06
  [140/12000] B20 → 1  EV=2.80
  [141/12000] B21 → 1  EV=2.60
  [142/12000] B22 → 6  EV=4.76
  [143/12000] B23 → 6  EV=3.94
  [144/12000] B24 → 1  EV=2.65
  [145/12000] B25 → 1  EV=2.24
  [146/12000] B26 → 1  EV=2.38
  [147/12000] B27 → 1  EV=2.56
  [148/12000] B28 → 1  EV=2.92
  [149/12000] B29 → 6  EV=4.58
  [150/12000] B30 → 1  EV=2.34
  [151/12000] B01 → 6  EV=4.77
  [152/12000] B02 → 6  EV=5.85
  [153/12000] B03 → 6  EV=4.32
  [154/12000] B04 → 6  EV=4.26
  [155/12000] B05 → 6  EV=4.08
  [156/12000] B06 → 1  EV=1.33
  [157/12000] B07 → 4  EV=3.81
  [158/12000] B08 → 3  EV=3.25
  [159/12000] B09 → 6  EV=3.84
  [160/12000] B10 → 6  EV=4.49
  [161/12000] B11 → 6  EV=4.27
  [162/12000] B12 → 6  EV=5.32
  [163/12000] B13 → 6  EV=4.71
  [164/12000] B14 → 4  EV=4.04
  [165/12000] B15 → 3  EV=3.89
  [166/12000] B16 → 1  EV=3.46
  [167/12000] B17 → 6  EV=4.48
  [168/12000] B18 → 3  EV=3.53
  [169/12000] B19 → 6  EV=4.23
  [170/12000] B20 → 3  EV=3.72
  [171/12000] B21 → 3  EV=3.96
  [172/12000] B22 → 6  EV=5.57
  [173/12000] B23 → 6  EV=3.84
  [174/12000] B24 → 4  EV=3.69
  [175/12000] B25 → 3  EV=2.69
  [176/12000] B26 → 3  EV=3.47
  [177/12000] B27 → 6  EV=4.30
  [178/12000] B28 → 3  EV=4.12
  [179/12000] B29 → 6  EV=5.15
  [180/12000] B30 → 6  EV=4.23
  [181/12000] B01 → 3  EV=3.69
  [182/12000] B02 → 1  EV=2.68
  [183/12000] B03 → 1  EV=2.39
  [184/12000] B04 → 4  EV=3.86
  [185/12000] B05 → 7  EV=4.28
  [186/12000] B06 → 1  EV=2.99
  [187/12000] B07 → 4  EV=3.89
  [188/12000] B08 → 1  EV=3.12
  [189/12000] B09 → 7  EV=4.44
  [190/12000] B10 → 3  EV=3.86
  [191/12000] B11 → 1  EV=3.77
  [192/12000] B12 → 4  EV=3.67
  [193/12000] B13 → 2  EV=3.39
  [194/12000] B14 → 4  EV=4.88
  [195/12000] B15 → 3  EV=3.56
  [196/12000] B16 → 3  EV=3.63
  [197/12000] B17 → 6  EV=4.92
  [198/12000] B18 → 1  EV=2.83
  [199/12000] B19 → 1  EV=3.30
  [200/12000] B20 → 1  EV=2.94

  Checkpoint: 200/12000 (1.0 prompts/sec)

  [201/12000] B21 → 4  EV=4.40
  [202/12000] B22 → 1  EV=2.62
  [203/12000] B23 → 1  EV=2.42
  [204/12000] B24 → 4  EV=4.43
  [205/12000] B25 → 1  EV=3.79
  [206/12000] B26 → 1  EV=3.69
  [207/12000] B27 → 7  EV=4.01
  [208/12000] B28 → 1  EV=3.34
  [209/12000] B29 → 4  EV=3.63
  [210/12000] B30 → 1  EV=3.67
  [211/12000] B01 → 1  EV=2.56
  [212/12000] B02 → 1  EV=2.56
  [213/12000] B03 → 2  EV=3.41
  [214/12000] B04 → 1  EV=2.95
  [215/12000] B05 → 1  EV=3.49
  [216/12000] B06 → 1  EV=2.73
  [217/12000] B07 → 1  EV=2.67
  [218/12000] B08 → 1  EV=2.41
  [219/12000] B09 → 1  EV=2.94
  [220/12000] B10 → 2  EV=3.31
  [221/12000] B11 → 1  EV=3.05
  [222/12000] B12 → 1  EV=3.63
  [223/12000] B13 → 2  EV=2.70
  [224/12000] B14 → 2  EV=3.53
  [225/12000] B15 → 3  EV=4.25
  [226/12000] B16 → 3  EV=2.76
  [227/12000] B17 → 3  EV=4.12
  [228/12000] B18 → 1  EV=2.79
  [229/12000] B19 → 1  EV=2.60
  [230/12000] B20 → 3  EV=3.19
  [231/12000] B21 → 3  EV=3.56
  [232/12000] B22 → 4  EV=3.52
  [233/12000] B23 → 6  EV=4.15
  [234/12000] B24 → 1  EV=2.69
  [235/12000] B25 → 3  EV=3.28
  [236/12000] B26 → 1  EV=3.37
  [237/12000] B27 → 1  EV=3.56
  [238/12000] B28 → 1  EV=2.76
  [239/12000] B29 → 1  EV=3.86
  [240/12000] B30 → 1  EV=2.82
  [241/12000] B01 → 3  EV=3.16
  [242/12000] B02 → 1  EV=2.89
  [243/12000] B03 → 4  EV=3.11
  [244/12000] B04 → 4  EV=3.32
  [245/12000] B05 → 4  EV=2.69
  [246/12000] B06 → 1  EV=2.15
  [247/12000] B07 → 4  EV=3.10
  [248/12000] B08 → 1  EV=2.57
  [249/12000] B09 → 3  EV=3.57
  [250/12000] B10 → 3  EV=3.36
  [251/12000] B11 → 1  EV=2.48
  [252/12000] B12 → 4  EV=3.52
  [253/12000] B13 → 3  EV=2.87
  [254/12000] B14 → 3  EV=3.15
  [255/12000] B15 → 3  EV=3.31
  [256/12000] B16 → 3  EV=3.07
  [257/12000] B17 → 3  EV=4.06
  [258/12000] B18 → 4  EV=3.52
  [259/12000] B19 → 3  EV=3.10
  [260/12000] B20 → 3  EV=3.40
  [261/12000] B21 → 3  EV=2.80
  [262/12000] B22 → 4  EV=3.31
  [263/12000] B23 → 4  EV=3.68
  [264/12000] B24 → 3  EV=3.73
  [265/12000] B25 → 3  EV=3.22
  [266/12000] B26 → 3  EV=3.43
  [267/12000] B27 → 3  EV=3.51
  [268/12000] B28 → 3  EV=3.25
  [269/12000] B29 → 1  EV=3.27
  [270/12000] B30 → 3  EV=2.80
  [271/12000] B01 → 3  EV=3.17
  [272/12000] B02 → 1  EV=2.80
  [273/12000] B03 → 3  EV=2.74
  [274/12000] B04 → 3  EV=3.58
  [275/12000] B05 → 1  EV=2.34
  [276/12000] B06 → 1  EV=2.55
  [277/12000] B07 → 3  EV=2.93
  [278/12000] B08 → 1  EV=3.03
  [279/12000] B09 → 3  EV=3.02
  [280/12000] B10 → 6  EV=4.94
  [281/12000] B11 → 1  EV=3.14
  [282/12000] B12 → 7  EV=4.27
  [283/12000] B13 → 3  EV=2.82
  [284/12000] B14 → 6  EV=4.27
  [285/12000] B15 → 3  EV=3.48
  [286/12000] B16 → 3  EV=2.76
  [287/12000] B17 → 6  EV=4.16
  [288/12000] B18 → 1  EV=2.68
  [289/12000] B19 → 2  EV=3.16
  [290/12000] B20 → 3  EV=3.71
  [291/12000] B21 → 3  EV=2.88
  [292/12000] B22 → 1  EV=3.04
  [293/12000] B23 → 3  EV=2.54
  [294/12000] B24 → 3  EV=3.38
  [295/12000] B25 → 3  EV=2.57
  [296/12000] B26 → 3  EV=3.00
  [297/12000] B27 → 3  EV=3.15
  [298/12000] B28 → 3  EV=3.13
  [299/12000] B29 → 3  EV=2.95
  [300/12000] B30 → 3  EV=2.94

  Checkpoint: 300/12000 (1.1 prompts/sec)

  [301/12000] B01 → 3  EV=3.33
  [302/12000] B02 → 1  EV=3.02
  [303/12000] B03 → 2  EV=2.47
  [304/12000] B04 → 1  EV=2.06
  [305/12000] B05 → 1  EV=1.99
  [306/12000] B06 → 1  EV=1.93
  [307/12000] B07 → 1  EV=2.17
  [308/12000] B08 → 1  EV=2.11
  [309/12000] B09 → 1  EV=2.58
  [310/12000] B10 → 1  EV=2.73
  [311/12000] B11 → 1  EV=2.51
  [312/12000] B12 → 1  EV=2.67
  [313/12000] B13 → 1  EV=2.13
  [314/12000] B14 → 4  EV=3.69
  [315/12000] B15 → 3  EV=2.65
  [316/12000] B16 → 1  EV=2.45
  [317/12000] B17 → 6  EV=4.02
  [318/12000] B18 → 1  EV=1.95
  [319/12000] B19 → 6  EV=3.91
  [320/12000] B20 → 3  EV=2.65
  [321/12000] B21 → 3  EV=2.96
  [322/12000] B22 → 1  EV=2.48
  [323/12000] B23 → 4  EV=3.09
  [324/12000] B24 → 1  EV=2.82
  [325/12000] B25 → 1  EV=2.63
  [326/12000] B26 → 1  EV=2.28
  [327/12000] B27 → 1  EV=2.71
  [328/12000] B28 → 3  EV=2.74
  [329/12000] B29 → 1  EV=2.75
  [330/12000] B30 → 1  EV=2.31
  [331/12000] B01 → 6  EV=5.74
  [332/12000] B02 → 6  EV=4.33
  [333/12000] B03 → 6  EV=3.60
  [334/12000] B04 → 6  EV=5.29
  [335/12000] B05 → 1  EV=2.75
  [336/12000] B06 → 1  EV=1.57
  [337/12000] B07 → 1  EV=2.30
  [338/12000] B08 → 7  EV=4.82
  [339/12000] B09 → 1  EV=3.25
  [340/12000] B10 → 6  EV=5.43
  [341/12000] B11 → 1  EV=1.76
  [342/12000] B12 → 6  EV=4.69
  [343/12000] B13 → 6  EV=5.76
  [344/12000] B14 → 6  EV=5.09
  [345/12000] B15 → 1  EV=3.39
  [346/12000] B16 → 1  EV=3.57
  [347/12000] B17 → 6  EV=4.48
  [348/12000] B18 → 6  EV=4.09
  [349/12000] B19 → 6  EV=4.60
  [350/12000] B20 → 6  EV=4.17
  [351/12000] B21 → 6  EV=3.98
  [352/12000] B22 → 6  EV=5.53
  [353/12000] B23 → 1  EV=3.67
  [354/12000] B24 → 1  EV=3.25
  [355/12000] B25 → 1  EV=2.55
  [356/12000] B26 → 1  EV=2.90
  [357/12000] B27 → 1  EV=3.17
  [358/12000] B28 → 1  EV=3.48
  [359/12000] B29 → 6  EV=5.32
  [360/12000] B30 → 6  EV=4.72
  [361/12000] B01 → 6  EV=5.02
  [362/12000] B02 → 6  EV=4.78
  [363/12000] B03 → 6  EV=4.72
  [364/12000] B04 → 6  EV=5.26
  [365/12000] B05 → 6  EV=4.00
  [366/12000] B06 → 1  EV=1.84
  [367/12000] B07 → 1  EV=3.23
  [368/12000] B08 → 1  EV=4.25
  [369/12000] B09 → 6  EV=3.85
  [370/12000] B10 → 6  EV=4.32
  [371/12000] B11 → 6  EV=4.44
  [372/12000] B12 → 6  EV=5.72
  [373/12000] B13 → 6  EV=5.52
  [374/12000] B14 → 6  EV=3.78
  [375/12000] B15 → 6  EV=4.31
  [376/12000] B16 → 6  EV=4.41
  [377/12000] B17 → 6  EV=4.61
  [378/12000] B18 → 6  EV=4.10
  [379/12000] B19 → 6  EV=4.37
  [380/12000] B20 → 6  EV=4.06
  [381/12000] B21 → 1  EV=3.35
  [382/12000] B22 → 6  EV=5.58
  [383/12000] B23 → 6  EV=5.66
  [384/12000] B24 → 6  EV=4.18
  [385/12000] B25 → 1  EV=3.31
  [386/12000] B26 → 6  EV=3.67
  [387/12000] B27 → 6  EV=4.18
  [388/12000] B28 → 6  EV=4.89
  [389/12000] B29 → 1  EV=3.56
  [390/12000] B30 → 6  EV=5.23
  [391/12000] B01 → 3  EV=3.21
  [392/12000] B02 → 4  EV=3.02
  [393/12000] B03 → 3  EV=2.43
  [394/12000] B04 → 3  EV=2.52
  [395/12000] B05 → 3  EV=3.45
  [396/12000] B06 → 1  EV=2.65
  [397/12000] B07 → 1  EV=2.92
  [398/12000] B08 → 3  EV=3.01
  [399/12000] B09 → 3  EV=4.02
  [400/12000] B10 → 1  EV=3.19

  Checkpoint: 400/12000 (1.1 prompts/sec)

  [401/12000] B11 → 3  EV=3.64
  [402/12000] B12 → 3  EV=3.53
  [403/12000] B13 → 3  EV=3.10
  [404/12000] B14 → 4  EV=3.83
  [405/12000] B15 → 3  EV=3.12
  [406/12000] B16 → 3  EV=3.02
  [407/12000] B17 → 6  EV=4.59
  [408/12000] B18 → 1  EV=3.34
  [409/12000] B19 → 1  EV=2.73
  [410/12000] B20 → 3  EV=3.00
  [411/12000] B21 → 3  EV=2.65
  [412/12000] B22 → 1  EV=2.64
  [413/12000] B23 → 3  EV=3.71
  [414/12000] B24 → 3  EV=3.72
  [415/12000] B25 → 1  EV=2.65
  [416/12000] B26 → 3  EV=3.44
  [417/12000] B27 → 3  EV=3.43
  [418/12000] B28 → 3  EV=3.03
  [419/12000] B29 → 4  EV=3.26
  [420/12000] B30 → 3  EV=3.03
  [421/12000] B01 → 6  EV=4.47
  [422/12000] B02 → 6  EV=6.01
  [423/12000] B03 → 6  EV=4.03
  [424/12000] B04 → 6  EV=5.31
  [425/12000] B05 → 1  EV=3.24
  [426/12000] B06 → 1  EV=1.19
  [427/12000] B07 → 1  EV=3.03
  [428/12000] B08 → 6  EV=4.44
  [429/12000] B09 → 6  EV=3.56
  [430/12000] B10 → 1  EV=3.50
  [431/12000] B11 → 1  EV=1.79
  [432/12000] B12 → 6  EV=4.42
  [433/12000] B13 → 6  EV=5.35
  [434/12000] B14 → 6  EV=5.53
  [435/12000] B15 → 6  EV=3.80
  [436/12000] B16 → 1  EV=2.89
  [437/12000] B17 → 6  EV=4.65
  [438/12000] B18 → 6  EV=3.96
  [439/12000] B19 → 6  EV=4.41
  [440/12000] B20 → 6  EV=3.70
  [441/12000] B21 → 6  EV=3.80
  [442/12000] B22 → 1  EV=3.44
  [443/12000] B23 → 6  EV=4.07
  [444/12000] B24 → 6  EV=4.05
  [445/12000] B25 → 1  EV=2.77
  [446/12000] B26 → 6  EV=3.75
  [447/12000] B27 → 1  EV=3.06
  [448/12000] B28 → 6  EV=3.91
  [449/12000] B29 → 6  EV=5.38
  [450/12000] B30 → 6  EV=4.80
  [451/12000] B01 → 3  EV=3.13
  [452/12000] B02 → 4  EV=3.32
  [453/12000] B03 → 4  EV=3.33
  [454/12000] B04 → 2  EV=2.72
  [455/12000] B05 → 4  EV=2.83
  [456/12000] B06 → 1  EV=2.84
  [457/12000] B07 → 4  EV=3.30
  [458/12000] B08 → 1  EV=2.89
  [459/12000] B09 → 3  EV=3.65
  [460/12000] B10 → 3  EV=3.49
  [461/12000] B11 → 1  EV=2.95
  [462/12000] B12 → 3  EV=3.38
  [463/12000] B13 → 3  EV=3.40
  [464/12000] B14 → 4  EV=4.01
  [465/12000] B15 → 3  EV=3.48
  [466/12000] B16 → 3  EV=3.54
  [467/12000] B17 → 6  EV=4.95
  [468/12000] B18 → 4  EV=3.80
  [469/12000] B19 → 1  EV=2.63
  [470/12000] B20 → 4  EV=3.72
  [471/12000] B21 → 3  EV=3.00
  [472/12000] B22 → 3  EV=2.98
  [473/12000] B23 → 3  EV=3.08
  [474/12000] B24 → 3  EV=3.09
  [475/12000] B25 → 1  EV=3.16
  [476/12000] B26 → 6  EV=3.81
  [477/12000] B27 → 3  EV=3.29
  [478/12000] B28 → 3  EV=3.17
  [479/12000] B29 → 4  EV=3.18
  [480/12000] B30 → 3  EV=2.92
  [481/12000] B01 → 6  EV=5.44
  [482/12000] B02 → 6  EV=3.70
  [483/12000] B03 → 6  EV=3.99
  [484/12000] B04 → 6  EV=4.36
  [485/12000] B05 → 1  EV=2.33
  [486/12000] B06 → 1  EV=1.54
  [487/12000] B07 → 1  EV=2.53
  [488/12000] B08 → 3  EV=3.57
  [489/12000] B09 → 3  EV=2.98
  [490/12000] B10 → 6  EV=5.42
  [491/12000] B11 → 1  EV=2.25
  [492/12000] B12 → 6  EV=4.18
  [493/12000] B13 → 6  EV=4.16
  [494/12000] B14 → 3  EV=4.23
  [495/12000] B15 → 3  EV=3.28
  [496/12000] B16 → 3  EV=2.92
  [497/12000] B17 → 6  EV=4.50
  [498/12000] B18 → 3  EV=3.71
  [499/12000] B19 → 6  EV=4.42
  [500/12000] B20 → 3  EV=3.20

  Checkpoint: 500/12000 (1.0 prompts/sec)

  [501/12000] B21 → 3  EV=3.71
  [502/12000] B22 → 6  EV=4.65
  [503/12000] B23 → 6  EV=4.73
  [504/12000] B24 → 3  EV=3.35
  [505/12000] B25 → 1  EV=2.67
  [506/12000] B26 → 3  EV=3.23
  [507/12000] B27 → 3  EV=3.21
  [508/12000] B28 → 3  EV=3.55
  [509/12000] B29 → 6  EV=5.15
  [510/12000] B30 → 6  EV=4.43
  [511/12000] B01 → 6  EV=4.30
  [512/12000] B02 → 1  EV=2.88
  [513/12000] B03 → 1  EV=2.90
  [514/12000] B04 → 2  EV=2.97
  [515/12000] B05 → 2  EV=2.98
  [516/12000] B06 → 1  EV=3.21
  [517/12000] B07 → 4  EV=3.41
  [518/12000] B08 → 1  EV=3.01
  [519/12000] B09 → 6  EV=3.97
  [520/12000] B10 → 2  EV=3.39
  [521/12000] B11 → 6  EV=3.98
  [522/12000] B12 → 1  EV=3.70
  [523/12000] B13 → 6  EV=3.90
  [524/12000] B14 → 2  EV=3.42
  [525/12000] B15 → 3  EV=3.85
  [526/12000] B16 → 3  EV=3.31
  [527/12000] B17 → 3  EV=3.42
  [528/12000] B18 → 1  EV=2.24
  [529/12000] B19 → 1  EV=2.99
  [530/12000] B20 → 1  EV=2.25
  [531/12000] B21 → 3  EV=3.69
  [532/12000] B22 → 2  EV=3.22
  [533/12000] B23 → 1  EV=3.60
  [534/12000] B24 → 3  EV=3.69
  [535/12000] B25 → 6  EV=4.08
  [536/12000] B26 → 6  EV=3.63
  [537/12000] B27 → 4  EV=4.13
  [538/12000] B28 → 3  EV=3.45
  [539/12000] B29 → 6  EV=4.52
  [540/12000] B30 → 3  EV=2.92
  [541/12000] B01 → 1  EV=3.83
  [542/12000] B02 → 1  EV=2.84
  [543/12000] B03 → 1  EV=2.40
  [544/12000] B04 → 1  EV=3.29
  [545/12000] B05 → 1  EV=3.26
  [546/12000] B06 → 1  EV=2.73
  [547/12000] B07 → 1  EV=2.52
  [548/12000] B08 → 1  EV=3.16
  [549/12000] B09 → 1  EV=3.40
  [550/12000] B10 → 1  EV=4.06
  [551/12000] B11 → 6  EV=3.95
  [552/12000] B12 → 1  EV=3.13
  [553/12000] B13 → 1  EV=2.66
  [554/12000] B14 → 4  EV=4.40
  [555/12000] B15 → 1  EV=3.20
  [556/12000] B16 → 1  EV=2.75
  [557/12000] B17 → 6  EV=5.01
  [558/12000] B18 → 1  EV=3.20
  [559/12000] B19 → 1  EV=3.34
  [560/12000] B20 → 4  EV=3.73
  [561/12000] B21 → 1  EV=2.99
  [562/12000] B22 → 1  EV=3.33
  [563/12000] B23 → 1  EV=3.76
  [564/12000] B24 → 1  EV=2.27
  [565/12000] B25 → 6  EV=4.18
  [566/12000] B26 → 3  EV=3.49
  [567/12000] B27 → 1  EV=3.52
  [568/12000] B28 → 1  EV=3.05
  [569/12000] B29 → 1  EV=2.94
  [570/12000] B30 → 1  EV=2.55
  [571/12000] B01 → 6  EV=5.86
  [572/12000] B02 → 6  EV=6.22
  [573/12000] B03 → 6  EV=4.93
  [574/12000] B04 → 6  EV=5.65
  [575/12000] B05 → 1  EV=1.84
  [576/12000] B06 → 1  EV=1.08
  [577/12000] B07 → 1  EV=2.50
  [578/12000] B08 → 6  EV=5.01
  [579/12000] B09 → 1  EV=3.10
  [580/12000] B10 → 1  EV=3.41
  [581/12000] B11 → 1  EV=1.56
  [582/12000] B12 → 6  EV=4.09
  [583/12000] B13 → 6  EV=5.44
  [584/12000] B14 → 6  EV=4.74
  [585/12000] B15 → 3  EV=3.30
  [586/12000] B16 → 1  EV=2.43
  [587/12000] B17 → 6  EV=4.15
  [588/12000] B18 → 6  EV=3.67
  [589/12000] B19 → 6  EV=3.78
  [590/12000] B20 → 1  EV=2.34
  [591/12000] B21 → 6  EV=4.10
  [592/12000] B22 → 6  EV=5.67
  [593/12000] B23 → 6  EV=4.17
  [594/12000] B24 → 1  EV=3.56
  [595/12000] B25 → 1  EV=3.11
  [596/12000] B26 → 2  EV=3.20
  [597/12000] B27 → 1  EV=3.33
  [598/12000] B28 → 6  EV=3.72
  [599/12000] B29 → 6  EV=5.45
  [600/12000] B30 → 6  EV=5.37

  Checkpoint: 600/12000 (1.0 prompts/sec)

  [601/12000] B01 → 6  EV=4.71
  [602/12000] B02 → 1  EV=3.49
  [603/12000] B03 → 1  EV=2.29
  [604/12000] B04 → 3  EV=2.80
  [605/12000] B05 → 4  EV=3.52
  [606/12000] B06 → 1  EV=1.54
  [607/12000] B07 → 4  EV=3.56
  [608/12000] B08 → 1  EV=3.77
  [609/12000] B09 → 4  EV=4.10
  [610/12000] B10 → 6  EV=6.16
  [611/12000] B11 → 1  EV=3.40
  [612/12000] B12 → 1  EV=3.90
  [613/12000] B13 → 1  EV=2.63
  [614/12000] B14 → 4  EV=2.92
  [615/12000] B15 → 3  EV=3.45
  [616/12000] B16 → 1  EV=2.79
  [617/12000] B17 → 6  EV=4.27
  [618/12000] B18 → 6  EV=4.40
  [619/12000] B19 → 1  EV=2.88
  [620/12000] B20 → 4  EV=3.96
  [621/12000] B21 → 3  EV=3.22
  [622/12000] B22 → 1  EV=3.46
  [623/12000] B23 → 4  EV=3.09
  [624/12000] B24 → 3  EV=3.18
  [625/12000] B25 → 1  EV=2.17
  [626/12000] B26 → 3  EV=2.90
  [627/12000] B27 → 4  EV=3.51
  [628/12000] B28 → 3  EV=3.42
  [629/12000] B29 → 6  EV=3.71
  [630/12000] B30 → 3  EV=3.38
  [631/12000] B01 → 6  EV=5.53
  [632/12000] B02 → 6  EV=3.99
  [633/12000] B03 → 6  EV=3.66
  [634/12000] B04 → 6  EV=4.33
  [635/12000] B05 → 2  EV=2.31
  [636/12000] B06 → 1  EV=1.53
  [637/12000] B07 → 1  EV=2.28
  [638/12000] B08 → 1  EV=3.06
  [639/12000] B09 → 1  EV=2.80
  [640/12000] B10 → 1  EV=3.54
  [641/12000] B11 → 1  EV=2.33
  [642/12000] B12 → 1  EV=3.76
  [643/12000] B13 → 6  EV=5.22
  [644/12000] B14 → 1  EV=3.27
  [645/12000] B15 → 2  EV=3.07
  [646/12000] B16 → 2  EV=2.60
  [647/12000] B17 → 2  EV=3.82
  [648/12000] B18 → 1  EV=2.79
  [649/12000] B19 → 6  EV=4.17
  [650/12000] B20 → 2  EV=3.41
  [651/12000] B21 → 6  EV=4.44
  [652/12000] B22 → 6  EV=4.70
  [653/12000] B23 → 6  EV=5.55
